date,mktrf,smb,hml,rmw,cma,rf
200306,1.42,1.62,0.57,0.58,-0.35,0.1
200307,2.35,4.8,-1.02,-4.03,1.98,0.07
200308,2.34,2.59,2.1,-2.37,2.3,0.07
200309,-1.24,0.52,0.01,1.11,0.2,0.08
200310,6.08,2.72,1.93,-1.58,1.67,0.07
200311,1.35,2.33,1.96,-0.22,1.84,0.07
200312,4.29,-2.73,2.35,-0.01,0.98,0.08
200401,2.15,2.5,1.96,-3.6,3.28,0.07
200402,1.4,-0.87,0.48,2.52,-1.24,0.06
200403,-1.32,2.12,0.25,1.53,-0.99,0.09
200404,-1.83,-2.23,-2.62,3.17,-2.88,0.08
200405,1.17,-0.39,-0.35,-1.17,0.02,0.06
200406,1.86,2.54,1.35,1.03,-0.36,0.08
200407,-4.06,-2.98,4.09,5.26,-1.67,0.1
200408,0.08,-1.24,0.96,1.27,-1.47,0.11
200409,1.6,3.31,-0.24,-1.24,-1.92,0.11
200410,1.43,0.3,-0.56,-0.11,0.48,0.11
200411,4.54,4.12,1.81,-1.08,-0.26,0.15
200412,3.43,0.03,-0.04,-1.36,0.56,0.16
200501,-2.76,-1.11,1.95,3.12,-1.39,0.16
200502,1.89,-0.27,1.65,1.32,-0.08,0.16
200503,-1.97,-1.42,1.54,0.51,1.09,0.21
200504,-2.61,-4.04,-0.35,0.82,-0.96,0.21
200505,3.65,2.7,-0.81,-1.39,0.27,0.24
200506,0.57,3.25,2.69,1.06,-0.49,0.23
200507,3.92,2.8,-0.54,-1.16,-0.95,0.24
200508,-1.22,-0.91,1.27,-2.37,0.44,0.3
200509,0.49,-0.3,0.76,0.54,-0.54,0.29
200510,-2.02,-1.4,0.25,-0.6,-1.29,0.27
200511,3.61,0.79,-1.19,-0.62,-1.14,0.31
200512,-0.25,-0.28,0.4,0.26,0.23,0.32
200601,3.04,5.76,1.12,-1.07,-0.47,0.35
200602,-0.3,-0.45,-0.25,-0.6,1.99,0.34
200603,1.46,3.41,0.51,-0.29,-0.51,0.37
200604,0.73,-0.84,2.61,1.11,-0.21,0.36
200605,-3.57,-3,2.57,0.9,1.32,0.43
200606,-0.35,-0.27,0.86,1.29,-0.06,0.4
200607,-0.78,-3.66,2.92,1.72,0.95,0.4
200608,2.03,0.45,-1.72,-1.81,2.14,0.42
200609,1.84,-1.43,0.03,0.91,0.55,0.41
200610,3.23,1.95,-0.05,-0.27,0.24,0.41
200611,1.71,0.83,0.04,0.12,-0.88,0.42
200612,0.87,-0.79,3.16,-0.71,2.04,0.4
200701,1.4,0.05,-0.13,0.04,0.25,0.44
200702,-1.96,1.39,-0.1,-0.46,-0.78,0.38
200703,0.68,0.06,-0.23,0.18,-0.6,0.43
200704,3.49,-2.01,-1.15,1,1.04,0.44
200705,3.24,0.25,-0.07,1.22,-1.35,0.41
200706,-1.96,0.76,-1.11,0.43,0.04,0.4
200707,-3.73,-2.88,-3.34,0.48,-1.08,0.4
200708,0.92,-0.33,-2.25,-1.06,-0.56,0.42
200709,3.22,-2.41,-1.91,-0.56,-3.33,0.32
200710,1.8,0.04,-2.62,-0.17,-0.15,0.32
200711,-4.83,-2.83,-1.18,1.58,-0.35,0.34
200712,-0.87,0.19,-0.44,0.9,-1.08,0.27
200801,-6.36,-0.5,3.69,1.94,2.27,0.21
200802,-3.09,-0.49,-0.88,0.79,-1.13,0.13
200803,-0.93,0.69,-0.18,0.78,0.5,0.17
200804,4.6,-1.15,-0.99,1.55,-2.54,0.18
200805,1.86,3.18,-1.49,0.87,0.04,0.18
200806,-8.44,1.19,-2.47,4.29,-0.48,0.17
200807,-0.77,3.68,5.89,-0.91,1.1,0.15
200808,1.53,3.43,1.57,1.67,0.82,0.13
200809,-9.24,0.31,6.26,2.24,1.81,0.15
200810,-17.23,-3.1,-2.75,3.76,1.88,0.08
200811,-7.86,-3.87,-5.85,4.95,2.64,0.03
200812,1.74,3.39,-0.21,0.13,-1.36,0
200901,-8.12,-2.01,-11.25,0.26,-1.23,0
200902,-10.1,-1.19,-7.27,1.89,-1.14,0.01
200903,8.95,0.62,3.62,-2.49,-2.24,0.02
200904,10.19,6.63,5.44,0.16,0.19,0.01
200905,5.21,-2.34,-0.14,-1.21,-2.14,0
200906,0.43,2.31,-2.66,-0.93,-0.17,0.01
200907,7.72,2.48,5.22,-0.45,3.19,0.01
200908,3.33,0.03,7.85,-3.05,3.13,0.01
200909,4.08,2.79,0.97,1.69,0.34,0.01
200910,-2.59,-4.82,-4.26,4.25,-1.61,0
200911,5.56,-2.76,-0.12,0.87,0.12,0
200912,2.75,6.27,0,0.7,-0.08,0.01
201001,-3.36,0.27,0.3,-1.5,0.41,0
201002,3.4,1.45,3.18,-0.45,1.4,0
201003,6.31,1.84,2.15,-0.62,1.64,0.01
201004,2,5.07,2.83,0.93,1.7,0.01
201005,-7.89,-0.02,-2.41,1.05,-0.18,0.01
201006,-5.56,-2.56,-4.52,-0.16,-1.51,0.01
201007,6.93,0.11,-0.21,0.13,1.97,0.01
201008,-4.77,-3.12,-1.96,0.49,-1.74,0.01
201009,9.54,3.73,-3.12,-0.06,0.45,0.01
201010,3.88,0.78,-2.52,1.27,-0.17,0.01
201011,0.6,3.58,-0.91,0.31,1.63,0.01
201012,6.82,0.98,3.78,-3.5,3.23,0.01
201101,1.99,-2.42,0.82,-0.73,0.72,0.01
201102,3.49,1.66,1.1,-1.9,0.89,0.01
201103,0.45,2.63,-1.57,1.42,0.04,0.01
201104,2.9,-0.48,-2.53,1.03,-0.86,0
201105,-1.27,-0.72,-2.09,1.98,-1.44,0
201106,-1.75,0.07,-0.33,2.25,-1.45,0
201107,-2.36,-1.33,-1.16,2.55,-1.76,0
201108,-5.99,-3.2,-2.4,3.08,-0.26,0.01
201109,-7.59,-3.78,-1.37,1.96,0.23,0
201110,11.35,3.59,-0.22,-1.84,-0.84,0
201111,-0.28,-0.28,-0.42,1.72,1.52,0
201112,0.74,-0.41,1.71,0.92,2.46,0
201201,5.05,2.14,-1.11,-1.85,-1.4,0
201202,4.42,-1.58,0.11,-0.18,-0.01,0
201203,3.11,-0.48,0.89,-0.51,0.8,0
201204,-0.85,-0.61,-0.46,1.16,0.68,0
201205,-6.19,-0.11,-0.52,2.1,2.36,0.01
201206,3.89,0.96,0.41,-1.3,0.36,0
201207,0.79,-2.71,-0.25,0.74,0.17,0
201208,2.55,0.42,1.34,-1.45,-0.68,0.01
201209,2.73,0.68,1.57,-1.08,1.61,0.01
201210,-1.76,-0.78,3.64,-1.45,2.25,0.01
201211,0.78,0.3,-0.81,0.4,0.91,0.01
201212,1.18,1.89,3.52,-1.73,0.87,0.01
201301,5.57,0.57,0.95,-1.93,1.44,0
201302,1.29,-0.35,0.11,-0.64,0.47,0
201303,4.03,0.91,-0.26,0.43,1.23,0
201304,1.55,-2.3,0.57,0.22,0.42,0
201305,2.8,2.09,2.49,-1.62,-0.79,0
201306,-1.2,1.35,-0.13,-0.39,0.03,0
201307,5.65,1.8,0.61,-1.54,0.55,0
201308,-2.71,-0.04,-2.77,0.75,-2.13,0
201309,3.77,2.71,-1.2,-0.54,-1.31,0
201310,4.18,-1.51,1.1,2.89,0.87,0
201311,3.12,1.38,0.26,0.32,0.1,0
201312,2.81,-0.5,-0.31,-0.47,0.08,0
201401,-3.32,0.61,-2.13,-3.64,-1.43,0
201402,4.65,0.13,-0.37,-0.47,-0.38,0
201403,0.43,-1.15,5.03,1.99,1.93,0
201404,-0.19,-4.1,1.1,3.51,1.1,0
201405,2.06,-1.87,-0.36,0.35,-1.11,0
201406,2.61,3.03,-0.66,-1.98,-1.88,0
201407,-2.04,-4.23,-0.02,1.08,0.45,0
201408,4.24,0.32,-0.55,-0.54,-0.68,0
201409,-1.97,-3.75,-1.19,1.02,-0.49,0
201410,2.52,3.84,-1.68,-0.63,-0.21,0
201411,2.55,-2.26,-2.98,1.41,0.18,0
201412,-0.06,2.9,2.12,-1.35,0.9,0
201501,-3.11,-0.83,-3.47,1.39,-1.7,0
201502,6.13,0.23,-1.73,-1.05,-1.6,0
201503,-1.12,3.1,-0.45,0.11,-0.55,0
201504,0.59,-3.04,1.84,0.1,-0.52,0
201505,1.36,0.8,-1.32,-1.74,-0.72,0
201506,-1.53,2.87,-0.8,0.43,-1.53,0
201507,1.54,-4.49,-4.21,-0.31,-2.62,0
201508,-6.04,0.41,2.71,0.62,1.15,0
201509,-3.08,-2.8,0.58,1.36,-0.51,0
201510,7.75,-2.1,-0.11,0.91,0.45,0
201511,0.56,3.34,-0.57,-2.76,-1,0
201512,-2.17,-2.96,-2.46,-0.03,0.17,0.01
201601,-5.77,-3.46,2.26,2.25,2.97,0.01
201602,-0.07,0.97,-0.48,3.21,2.07,0.02
201603,6.96,1.09,1.11,1.09,0.03,0.02
201604,0.92,1.16,3.25,-2.98,1.91,0.01
201605,1.78,-0.74,-1.79,-1.22,-2.65,0.01
201606,-0.05,0.44,-1.49,1.16,1.91,0.02
201607,3.95,2.91,-0.98,1.43,-1.02,0.02
201608,0.5,1.52,3.18,-1.24,-0.56,0.02
201609,0.25,1.72,-1.34,-1.85,-0.05,0.02
201610,-2.02,-3.97,4.15,1.36,0.22,0.02
201611,4.86,7.03,8.44,-0.68,3.83,0.01
201612,1.81,0.32,3.52,0.95,-0.21,0.03
201701,1.94,-1.25,-2.69,0.1,-0.95,0.04
201702,3.57,-1.97,-1.8,0.5,-1.65,0.04
201703,0.17,0.74,-3.32,0.76,-1.08,0.03
