public_date,FFI48_desc,NFIRM,indret_ew,indret_vw,dpr_Median,bm_Median,pe_exi_Median,gpm_Median,roe_Median,totdebt_invcap_Median,rd_sale_Median,adv_sale_Median
20100331,FUN,47,0.097370,0.150277,0.000,0.804,11.038,0.362,0.007,0.470,0.000,0.012
20100331,GOLD,6,0.073461,0.045247,0.000,0.387,21.393,0.516,0.091,0.016,0.000,0.000
20100331,GUNS,8,0.076980,0.065423,0.000,0.516,9.570,0.232,0.226,0.278,0.015,0.000
20100331,HLTH,75,0.087074,0.069520,0.000,0.582,13.989,0.302,0.090,0.296,0.000,0.000
20100331,HSHLD,46,0.085977,0.019916,0.197,0.628,15.900,0.442,0.076,0.278,0.009,0.021
20100331,INSUR,125,0.092145,0.085338,0.113,1.096,8.913,0.148,0.110,0.207,0.000,0.000
20100331,LABEQ,81,0.059158,0.075079,0.000,0.546,-2.052,0.471,-0.008,0.072,0.109,0.000
20100331,MACH,107,0.086326,0.066227,0.116,0.564,10.689,0.328,0.010,0.215,0.020,0.000
20100331,MEALS,65,0.131593,0.086039,0.000,0.582,12.602,0.210,0.054,0.423,0.000,0.023
20100331,MEDEQ,124,0.078918,0.046435,0.000,0.431,-0.627,0.599,0.014,0.128,0.091,0.000
20100331,MINES,18,0.089172,0.093299,0.160,0.342,14.256,0.339,0.034,0.284,0.000,0.000
20100331,OIL,151,0.033181,0.031511,0.000,0.708,-3.703,0.333,-0.051,0.338,0.000,0.000
20100331,OTHER,22,0.076681,0.023876,0.000,0.593,12.444,0.329,0.037,0.392,0.000,0.000
20100331,PAPER,40,0.071772,0.061147,0.000,0.687,9.890,0.258,0.091,0.384,0.002,0.000
20100331,PERSV,51,0.090151,0.070484,0.000,0.640,18.833,0.483,0.067,0.344,0.000,0.006
20100331,RLEST,22,0.120200,0.148625,0.000,0.762,3.558,0.360,0.007,0.387,0.000,0.000
20100331,RTAIL,176,0.130853,0.061179,0.000,0.628,16.435,0.340,0.078,0.204,0.000,0.015
20100331,RUBBR,17,0.083046,0.032896,0.000,0.625,13.208,0.302,0.070,0.351,0.014,0.000
20100331,SHIPS,8,0.107237,0.128103,0.170,0.804,15.204,0.162,0.036,0.251,0.003,0.000
20100331,SMOKE,6,0.327465,0.060882,0.857,0.081,14.712,0.541,0.546,0.837,0.009,0.012
20100331,SODA,8,0.006944,0.078813,0.068,0.564,9.401,0.428,0.149,0.258,0.000,0.018
20100331,STEEL,44,0.101827,0.118866,0.234,0.694,-5.568,0.162,-0.018,0.256,0.000,0.000
20100331,TELCM,102,0.111106,0.074858,0.000,0.541,1.255,0.560,0.025,0.559,0.000,0.004
20100331,TOYS,22,0.062666,0.064198,0.000,0.821,-1.359,0.413,-0.013,0.223,0.035,0.020
20100331,TRANS,88,0.071547,0.079851,0.000,0.759,11.305,0.209,0.048,0.387,0.000,0.000
20100331,TXTLS,9,0.145358,0.080554,0.000,0.940,-1.460,0.296,-0.002,0.528,0.000,0.000
